Brand,Model,Year,Age,Transmission,Owner,FuelType,PostedDate
Mercedes-Benz,C-Class,2015,9,Automatic,first,Diesel,24-Nov
Hyundai,Creta,2022,2,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Swift-Dzire,2020,4,Manual,first,Petrol,24-Nov
Skoda,Kushaq,2023,1,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Ciaz,2018,6,Manual,first,Petrol,24-Nov
Tata,Safari,2010,14,Manual,first,Diesel,24-Nov
Toyota,Innova Crysta,2018,6,Automatic,first,Diesel,24-Nov
Mercedes-Benz,C-Class,2016,8,Automatic,second,Petrol,24-Oct
Honda,City,2010,14,Manual,second,Petrol,24-Nov
Honda,BRV,2016,8,Manual,second,Diesel,24-Nov
Hyundai,Creta,2017,7,Manual,second,Petrol,24-Nov
Renault,Duster,2018,6,Manual,first,Diesel,24-Nov
Maruti Suzuki,Wagon-R,2011,13,Manual,second,Petrol,24-Nov
Toyota,Fortuner,2017,7,Automatic,second,Diesel,24-Nov
Mahindra,Bolero Power Plus,2017,7,Manual,second,Diesel,24-Nov
Hyundai,Eon,2017,7,Manual,second,Petrol,24-Oct
MG,Hector Plus,2020,4,Automatic,first,Petrol,24-Nov
Hyundai,Creta,2017,7,Automatic,first,Petrol,24-Nov
Mahindra,XUV500,2018,6,Manual,first,Diesel,24-Nov
Mercedes-Benz,GLS,2014,10,Automatic,first,Diesel,24-Nov
Hyundai,i10,2011,13,Manual,second,Petrol,24-Nov
Mercedes-Benz,GLA Class,2018,6,Automatic,second,Diesel,24-Nov
Kia,Carens,2023,1,Manual,first,Petrol,24-Nov
Toyota,Innova,2011,13,Manual,second,Diesel,24-Nov
Maruti Suzuki,Ignis,2023,1,Manual,second,Petrol,24-Nov
Hyundai,Grand i10,2017,7,Manual,first,Petrol,24-Nov
Hyundai,Getz Prime,2007,17,Manual,second,Petrol,24-Nov
Maruti Suzuki,Swift,2014,10,Manual,first,Petrol,24-Nov
Hyundai,Xcent,2016,8,Manual,first,Diesel,24-Nov
Honda,City,2016,8,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Ritz,2015,9,Manual,first,Petrol,24-Nov
Toyota,Innova Crysta,2017,7,Automatic,second,Diesel,24-Nov
Hyundai,Verna,2022,2,Automatic,first,Diesel,24-Nov
Hyundai,Creta,2015,9,Automatic,second,Diesel,24-Nov
Kia,Sonet,2020,4,Automatic,first,Petrol,24-Nov
Ford,Ecosport,2016,8,Manual,second,Diesel,24-Nov
Mercedes-Benz,GLC Coupe,2022,2,Automatic,first,Diesel,24-Nov
Mahindra,Scorpio-N,2023,1,Automatic,first,Diesel,24-Nov
Toyota,Innova Crysta,2021,3,Manual,first,Diesel,24-Nov
Mini,Cooper 3 DOOR,2019,5,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Ertiga,2015,9,Manual,first,Diesel,24-Nov
Volkswagen,Polo,2012,12,Manual,second,Diesel,24-Nov
Maruti Suzuki,Wagon-R,2016,8,Manual,first,Petrol,24-Sep
Tata,Nexon,2022,2,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Ritz,2013,11,Manual,first,Diesel,24-Oct
Toyota,Etios,2015,9,Manual,second,Diesel,24-Nov
Volkswagen,CrossPolo,2014,10,Manual,second,Diesel,24-Nov
Maruti Suzuki,Wagon-R,2014,10,Manual,second,Petrol,24-Oct
Volkswagen,Polo,2021,3,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Baleno,2017,7,Automatic,first,Petrol,24-Oct
Volkswagen,Vento,2011,13,Manual,first,Diesel,24-Nov
Maruti Suzuki,Alto-K10,2011,13,Manual,first,Petrol,24-Nov
Maruti Suzuki,Celerio,2015,9,Automatic,first,Petrol,24-Nov
Renault,Duster,2015,9,Automatic,second,Diesel,24-Nov
Toyota,Fortuner,2012,12,Manual,first,Diesel,24-Oct
Land Rover,Range Rover Evoque,2017,7,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Ertiga,2020,4,Automatic,first,Petrol,24-Nov
Tata,Nexon,2018,6,Automatic,second,Petrol,24-Nov
Tata,Indigo Ecs,2016,8,Manual,second,Diesel,24-Nov
Mahindra,Thar,2022,2,Manual,first,Diesel,24-Nov
Toyota,Camry,2015,9,Automatic,second,Petrol,24-Nov
Skoda,Kushaq,2021,3,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Ritz,2012,12,Manual,first,Petrol,24-Nov
Hyundai,Grand i10,2014,10,Automatic,second,Petrol,24-Nov
Mahindra,Bolero,2015,9,Manual,first,Diesel,24-Nov
Honda,Brio,2012,12,Manual,first,Petrol,24-Nov
Honda,City ZX,2007,17,Manual,second,Petrol,24-Oct
Hyundai,i10,2011,13,Manual,second,Petrol,24-Nov
Honda,WRV,2017,7,Manual,first,Diesel,24-Nov
Land Rover,Discovery Sport,2019,5,Automatic,first,Diesel,24-Nov
Tata,Harrier,2019,5,Manual,second,Diesel,24-Nov
Tata,Zest,2015,9,Manual,second,Petrol,24-Nov
Maruti Suzuki,Eeco,2021,3,Manual,first,Petrol,24-Oct
Maruti Suzuki,Swift-Dzire,2013,11,Manual,second,Diesel,24-Nov
Toyota,Fortuner,2018,6,Manual,first,Diesel,24-Nov
Hyundai,Creta,2023,1,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Wagon-R,2014,10,Manual,first,Petrol,24-Nov
Hyundai,Creta,2020,4,Manual,first,Diesel,24-Nov
Toyota,2.8 Legender 4X2,2022,2,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Swift Dzire,2015,9,Manual,first,Petrol,24-Nov
Volkswagen,VentoTest,2016,8,Automatic,first,Petrol,24-Nov
Toyota,Innova,2006,18,Manual,first,Diesel,24-Nov
Hyundai,Creta,2018,6,Automatic,second,Petrol,24-Oct
Toyota,Innova Crysta,2016,8,Manual,first,Diesel,24-Nov
Maruti Suzuki,Vitara-Brezza,2018,6,Manual,first,Diesel,24-Nov
Maruti Suzuki,Ertiga,2012,12,Manual,second,Diesel,24-Nov
Hyundai,i10,2010,14,Manual,second,Petrol,24-Nov
Maruti Suzuki,Ciaz,2015,9,Manual,first,Petrol,24-Nov
Ford,Ecosport,2018,6,Automatic,first,Petrol,24-Nov
Honda,City,2011,13,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Swift,2018,6,Automatic,second,Petrol,24-Nov
Audi,A4,2021,3,Automatic,first,Petrol,24-Nov
Honda,City,2014,10,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Swift,2005,19,Manual,second,Petrol,24-Nov
Mahindra,XUV500,2017,7,Automatic,second,Diesel,24-Nov
Mahindra,XUV500,2016,8,Manual,second,Diesel,24-Nov
Volkswagen,Polo,2018,6,Automatic,second,Petrol,24-Nov
Ford,Endeavour,2019,5,Automatic,first,Diesel,24-Nov
Mahindra,Thar,2018,6,Manual,second,Diesel,24-Nov
Mahindra,Thar,2023,1,Automatic,first,Diesel,24-Nov
Mahindra,XUV500,2013,11,Manual,second,Diesel,24-Nov
Maruti Suzuki,Sx4,2009,15,Manual,first,Petrol,24-Nov
Audi,A3,2015,9,Automatic,second,Diesel,24-Nov
Hyundai,Creta,2018,6,Manual,first,Diesel,24-Nov
Mercedes-Benz,C-Class,2013,11,Automatic,second,Petrol,24-Nov
Toyota,Innova Crysta,2022,2,Automatic,first,Diesel,24-Nov
Skoda,Kodiaq,2020,4,Automatic,first,Diesel,24-Nov
Ford,Endeavour,2017,7,Automatic,second,Diesel,24-Oct
Honda,City,2016,8,Automatic,second,Petrol,24-Nov
Hyundai,Eon,2014,10,Manual,second,Petrol,24-Nov
Tata,Altroz,2021,3,Manual,first,Petrol,24-Nov
Maruti Suzuki,Celerio,2018,6,Automatic,second,Petrol,24-Nov
Volkswagen,Polo,2015,9,Manual,first,Petrol,24-Nov
Hyundai,Grand i10 Nios,2022,2,Automatic,first,Petrol,24-Nov
Toyota,Camry,2016,8,Automatic,second,Petrol,24-Oct
Maruti Suzuki,Alto-800,2013,11,Manual,second,Petrol,24-Nov
BMW,X1,2016,8,Automatic,first,Diesel,24-Nov
Hyundai,Creta,2019,5,Manual,first,Diesel,24-Nov
BMW,X5,2016,8,Automatic,second,Diesel,24-Nov
Hyundai,i20,2015,9,Manual,second,Diesel,24-Nov
Skoda,Rapid,2017,7,Automatic,first,Diesel,24-Nov
Hyundai,Verna,2013,11,Manual,second,Petrol,24-Nov
Mahindra,TUV,2015,9,Automatic,second,Diesel,24-Nov
Mercedes-Benz,E-Class,2012,12,Automatic,second,Diesel,24-Nov
Honda,City,2018,6,Manual,first,Diesel,24-Nov
Maruti Suzuki,Ciaz,2020,4,Manual,first,Petrol,24-Nov
Renault,KWID,2017,7,Automatic,second,Petrol,24-Nov
BMW,5 Series,2018,6,Automatic,first,Petrol,24-Nov
Toyota,Fortuner,2015,9,Automatic,second,Diesel,24-Nov
Volkswagen,Polo,2020,4,Manual,second,Petrol,24-Nov
Maruti Suzuki,Baleno,2018,6,Manual,first,Petrol,24-Nov
Hyundai,Creta,2019,5,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Swift Dzire,2015,9,Manual,second,Diesel,24-Nov
Hyundai,Alcazar,2022,2,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Alto K10,2016,8,Manual,first,Petrol,24-Nov
Mercedes-Benz,M-Class,2015,9,Automatic,first,Diesel,24-Nov
Honda,Brio,2014,10,Manual,second,Petrol,24-Nov
Maruti Suzuki,Swift-Dzire,2024,0,Manual,first,Petrol,24-Oct
Hyundai,i20,2010,14,Manual,second,Petrol,24-Nov
Toyota,Fortuner,2021,3,Automatic,first,Petrol,24-Sep
Kia,Seltos,2021,3,Automatic,first,Petrol,24-Oct
Volkswagen,Polo,2015,9,Manual,second,Petrol,24-Nov
Toyota,Glanza,2021,3,Automatic,second,Petrol,24-Nov
BMW,5 Series,2019,5,Automatic,first,Diesel,24-Nov
Skoda,Rapid,2019,5,Automatic,first,Diesel,24-Nov
Jeep,Compass,2022,2,Automatic,first,Petrol,24-Oct
Volkswagen,VentoTest,2013,11,Manual,first,Petrol,24-Nov
Honda,City,2011,13,Automatic,second,Petrol,24-Nov
Honda,Brio,2012,12,Manual,first,Petrol,24-Nov
Maruti Suzuki,Ertiga,2016,8,Manual,second,Diesel,24-Nov
Toyota,Etios,2012,12,Manual,second,Diesel,24-Nov
Volkswagen,VentoTest,2019,5,Manual,first,Diesel,24-Nov
Tata,Harrier,2022,2,Automatic,first,Diesel,24-Oct
Kia,Seltos,2020,4,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Alto-800,2014,10,Manual,first,Petrol,24-Nov
Audi,A3,2015,9,Automatic,second,Diesel,24-Nov
Honda,City,2011,13,Manual,second,Petrol,24-Nov
Maruti Suzuki,Ritz,2010,14,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Wagon-R,2023,1,Manual,first,Petrol,24-Nov
Renault,KWID,2017,7,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Omni,1998,26,Manual,second,Petrol,24-Nov
Chevrolet,Cruze,2011,13,Automatic,second,Diesel,24-Nov
Mahindra,XUV500,2017,7,Automatic,first,Diesel,24-Nov
Hyundai,Verna,2013,11,Automatic,second,Diesel,24-Nov
Hyundai,Creta,2016,8,Manual,second,Petrol,24-Nov
Toyota,Fortuner,2014,10,Automatic,second,Diesel,24-Nov
Honda,City,2018,6,Manual,first,Petrol,24-Nov
Honda,Amaze,2021,3,Automatic,first,Diesel,24-Nov
Toyota,Innova Crysta,2017,7,Manual,first,Diesel,24-Nov
Honda,Jazz,2015,9,Manual,second,Petrol,24-Oct
Renault,Scala,2013,11,Manual,first,Diesel,24-Nov
BMW,3 Series GT,2019,5,Automatic,second,Diesel,24-Nov
Honda,City,2016,8,Manual,second,Petrol,24-Nov
Maruti Suzuki,S-Presso,2021,3,Automatic,first,Petrol,24-Nov
Mahindra,XUV500,2013,11,Manual,second,Diesel,24-Nov
Hyundai,Tucson,2017,7,Automatic,second,Diesel,24-Nov
Hyundai,Verna,2014,10,Automatic,second,Petrol,24-Nov
Toyota,Camry,2015,9,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Alto,2019,5,Automatic,second,Petrol,24-Nov
Hyundai,Santa Fe,2016,8,Automatic,first,Diesel,24-Nov
Hyundai,Xcent,2016,8,Manual,second,Petrol,24-Nov
Maruti Suzuki,Dzire,2022,2,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Swift,2019,5,Manual,first,Petrol,24-Nov
MG,ASTOR,2022,2,Automatic,first,Petrol,24-Oct
Audi,Q7,2014,10,Automatic,second,Diesel,24-Nov
Volkswagen,VentoTest,2016,8,Automatic,second,Petrol,24-Oct
Mercedes-Benz,GLE COUPE,2021,3,Automatic,second,Petrol,24-Oct
Maruti Suzuki,Alto-800,2019,5,Manual,first,Petrol,24-Nov
Toyota,Innova Crysta,2017,7,Automatic,first,Diesel,24-Oct
Mini,Cooper 5 DOOR,2014,10,Automatic,second,Diesel,24-Oct
Renault,KWID,2017,7,Automatic,first,Petrol,24-Nov
Volkswagen,VentoTest,2018,6,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Baleno,2018,6,Manual,first,Petrol,24-Nov
Audi,Q3,2016,8,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Alto,2008,16,Manual,second,Petrol,24-Nov
Toyota,Fortuner,2017,7,Automatic,second,Diesel,24-Nov
Skoda,Rapid,2015,9,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Swift-Dzire,2013,11,Manual,second,Diesel,24-Nov
Toyota,Fortuner,2015,9,Automatic,first,Diesel,24-Nov
Tata,Hexa,2017,7,Manual,first,Diesel,24-Nov
Hyundai,Creta Facelift,2022,2,Manual,first,Petrol,24-Sep
BMW,7 Series,2014,10,Automatic,first,Diesel,24-Oct
Honda,Jazz,2015,9,Manual,first,Petrol,24-Oct
Volkswagen,Polo,2013,11,Automatic,first,Petrol,24-Nov
Hyundai,Grand i10,2014,10,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Ciaz,2020,4,Manual,first,Petrol,24-Nov
Toyota,Innova Crysta,2022,2,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Celerio,2015,9,Automatic,second,Petrol,24-Nov
Mahindra,Thar,2022,2,Automatic,first,Petrol,24-Nov
Tata,Bolt,2015,9,Manual,first,Petrol,24-Nov
BMW,5 Series,2016,8,Automatic,second,Diesel,24-Nov
Jaguar,XF,2013,11,Automatic,second,Diesel,24-Nov
Tata,Tiago,2021,3,Manual,second,Petrol,24-Nov
Honda,Brio,2015,9,Manual,second,Petrol,24-Nov
Toyota,Innova Crysta,2021,3,Manual,second,Diesel,24-Nov
Skoda,Rapid,2014,10,Automatic,second,Petrol,24-Nov
Mahindra,Thar,2020,4,Manual,first,Diesel,24-Nov
BMW,3 Series GT,2015,9,Automatic,second,Diesel,24-Nov
Hyundai,i20,2010,14,Manual,second,Petrol,24-Jul
Toyota,Fortuner,2012,12,Manual,second,Diesel,24-Aug
Tata,Indigo Marina,2004,20,Manual,second,Petrol,24-Nov
Maruti Suzuki,Ertiga,2019,5,Manual,first,Diesel,24-Nov
Tata,Safari,2022,2,Manual,first,Diesel,24-Nov
Hyundai,Creta,2018,6,Automatic,first,Diesel,24-Nov
Ford,Ecosport,2017,7,Manual,second,Diesel,24-Oct
Tata,Nano Genx,2016,8,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Swift-Dzire,2016,8,Manual,second,Diesel,24-Nov
Maruti Suzuki,Alto-800,2006,18,Manual,first,Petrol,24-Nov
Hyundai,Grand i10,2014,10,Manual,second,Petrol,24-Nov
Volkswagen,Polo,2019,5,Automatic,second,Petrol,24-Nov
Honda,City Hybrid eHEV,2016,8,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Swift,2018,6,Automatic,second,Diesel,24-Nov
Ford,Ecosport,2017,7,Manual,first,Diesel,24-Nov
Hyundai,i20,2023,1,Automatic,first,Petrol,24-Oct
Volkswagen,Tiguan,2018,6,Automatic,first,Diesel,24-Nov
Mercedes-Benz,G,2011,13,Automatic,second,Diesel,24-Nov
BMW,3 Series,2016,8,Automatic,second,Diesel,24-Nov
Renault,Duster,2016,8,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Swift,2007,17,Manual,second,Diesel,24-Nov
Toyota,Innova,2014,10,Manual,second,Diesel,24-Nov
Land Rover,Range Rover,2016,8,Automatic,second,Diesel,24-Nov
BMW,7 Series,2013,11,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Grand Vitara,2023,1,Manual,first,Petrol,24-Nov
Toyota,Glanza,2020,4,Manual,first,Petrol,24-Oct
Renault,Duster,2016,8,Manual,second,Diesel,24-Nov
Volvo,XC 90,2015,9,Automatic,second,Diesel,24-Nov
Tata,Tiago,2018,6,Automatic,first,Petrol,24-Nov
Audi,A6,2015,9,Automatic,first,Diesel,24-Nov
Honda,City,2016,8,Manual,second,Petrol,24-Nov
Honda,Amaze,2016,8,Manual,first,Petrol,24-Nov
Volkswagen,Polo GTI,2015,9,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Swift,2022,2,Automatic,first,Petrol,24-Oct
Volkswagen,Virtus,2022,2,Automatic,first,Petrol,24-Oct
Maruti Suzuki,A-Star,2013,11,Automatic,second,Petrol,24-Nov
BMW,5 Series,2014,10,Automatic,second,Diesel,24-Nov
Mini,Cooper S,2013,11,Automatic,second,Petrol,24-Nov
Toyota,Etios Liva,2018,6,Manual,second,Diesel,24-Nov
MG,Hector,2023,1,Automatic,first,Petrol,24-Nov
Mercedes-Benz,CLA,2016,8,Automatic,second,Petrol,24-Nov
Hyundai,i20,2017,7,Manual,second,Petrol,24-Oct
Mahindra,Thar,2021,3,Automatic,first,Diesel,24-Nov
Mahindra,XUV700,2023,1,Manual,first,Petrol,24-Oct
Maruti Suzuki,Baleno,2021,3,Automatic,second,Petrol,24-Nov
Mahindra,Alturas G4,2022,2,Automatic,first,Diesel,24-Nov
Mahindra,Scorpio,2017,7,Manual,first,Diesel,24-Nov
MG,ASTOR,2021,3,Automatic,first,Petrol,24-Nov
Hyundai,New i20,2022,2,Automatic,first,Petrol,24-Nov
Toyota,Etios Liva,2017,7,Manual,first,Petrol,24-Nov
Maruti Suzuki,Alto 800,2016,8,Manual,second,Petrol,24-Nov
Audi,A6,2013,11,Automatic,second,Diesel,24-Nov
Hyundai,Elite i20,2017,7,Manual,first,Petrol,24-Nov
Hyundai,i10,2013,11,Automatic,second,Petrol,24-Nov
Mahindra,Thar,2021,3,Manual,second,Diesel,24-Nov
Maruti Suzuki,Omni,2014,10,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Swift-Dzire,2018,6,Manual,first,Petrol,24-Nov
Hyundai,i10,2013,11,Automatic,second,Petrol,24-Nov
Land Rover,Defender,2024,0,Automatic,first,Petrol,24-Nov
BMW,5 Series,2016,8,Automatic,second,Diesel,24-Nov
Mercedes-Benz,GLA Class,2016,8,Automatic,second,Petrol,24-Nov
Hyundai,Santro Xing,2007,17,Manual,second,Petrol,24-Nov
Toyota,Innova Crysta,2019,5,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Ertiga,2019,5,Manual,first,Diesel,24-Nov
Fiat,Linea,2009,15,Manual,second,Petrol,24-Nov
Audi,Q3,2017,7,Automatic,second,Diesel,24-Oct
Toyota,Innova Crysta,2022,2,Automatic,first,Diesel,24-Nov
Toyota,Etios,2012,12,Automatic,second,Petrol,24-Nov
BMW,3 Series GT,2019,5,Automatic,first,Diesel,24-Nov
Aston Martin,Vanquish,2016,8,Automatic,first,Petrol,24-Nov
Mercedes-Benz,C-Class,2015,9,Automatic,first,Diesel,24-Nov
Toyota,Fortuner,2024,0,Manual,first,Diesel,24-Nov
Mahindra,Thar,2023,1,Automatic,first,Petrol,24-Nov
Honda,City,2021,3,Manual,first,Diesel,24-Nov
Maruti Suzuki,Ciaz,2017,7,Automatic,second,Petrol,24-Nov
Toyota,Innova Crysta,2019,5,Automatic,second,Diesel,24-Nov
BMW,5 Series,2017,7,Automatic,first,Diesel,24-Sep
Mahindra,Bolero,2017,7,Manual,second,Diesel,24-Nov
Maruti Suzuki,maruti-suzuki-brezza,2021,3,Manual,first,Petrol,24-Nov
Audi,A8 L,2017,7,Automatic,first,Diesel,24-May
Kia,Seltos,2022,2,Automatic,first,Diesel,24-Nov
Hyundai,Alcazar,2023,1,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Swift,2019,5,Manual,second,Petrol,24-Nov
Mahindra,Thar,2021,3,Manual,first,Diesel,24-Nov
Volvo,V40 Cross Country,2016,8,Automatic,first,Petrol,24-Nov
MG,Hector,2019,5,Manual,first,Diesel,24-Nov
BMW,3 Series GT,2015,9,Automatic,second,Diesel,24-Nov
Audi,A6,2011,13,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Alto-K10,2015,9,Automatic,second,Petrol,24-Nov
Hyundai,Elite i20,2018,6,Manual,first,Petrol,24-Oct
Renault,Captur,2018,6,Manual,first,Diesel,24-Nov
Toyota,Innova,2016,8,Manual,second,Diesel,24-Nov
Volkswagen,Polo,2015,9,Manual,first,Petrol,24-Nov
Volkswagen,Passat,2012,12,Automatic,second,Diesel,24-Nov
Mercedes-Benz,E-Class,2017,7,Automatic,first,Diesel,24-Nov
Ford,Ecosport,2015,9,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Alto-K10,2019,5,Manual,first,Petrol,24-Nov
Hyundai,Venue,2022,2,Manual,first,Diesel,24-Nov
Volkswagen,Polo,2015,9,Manual,second,Petrol,24-Nov
Toyota,Innova Crysta,2017,7,Manual,first,Diesel,24-Nov
Jeep,Compass,2017,7,Automatic,first,Petrol,24-Nov
Hyundai,i20,2016,8,Manual,second,Petrol,24-Nov
Mahindra,KUV 100,2016,8,Manual,second,Diesel,24-Nov
Mahindra,Bolero Neo,2023,1,Automatic,second,Diesel,24-Nov
Honda,Amaze,2015,9,Manual,second,Diesel,24-Nov
Maruti Suzuki,Swift,2010,14,Manual,second,Diesel,24-Nov
Land Rover,Range Rover,2012,12,Automatic,second,Diesel,24-Sep
Hyundai,Verna,2014,10,Manual,first,Petrol,24-Nov
Hyundai,Elantra,2016,8,Manual,second,Diesel,24-Nov
Porsche,Macan,2023,1,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Ciaz,2017,7,Manual,second,Petrol,24-Nov
BMW,X3,2019,5,Automatic,second,Diesel,24-Nov
Mercedes-Benz,M-Class,2014,10,Automatic,first,Diesel,24-Nov
Mahindra,XUV700,2024,0,Automatic,first,Diesel,24-Nov
Skoda,Kushaq,2022,2,Manual,first,Petrol,24-Nov
Maruti Suzuki,Baleno,2016,8,Automatic,first,Petrol,24-Oct
Audi,A3,2015,9,Automatic,second,Diesel,24-Nov
Nissan,Terrano,2015,9,Manual,second,Diesel,24-Nov
Hyundai,Elantra,2014,10,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Ertiga,2022,2,Manual,first,Petrol,24-Nov
Maruti Suzuki,Swift Dzire,2013,11,Manual,second,Petrol,24-Nov
Maruti Suzuki,Swift Dzire,2013,11,Manual,second,Petrol,24-Nov
Honda,Amaze,2014,10,Manual,second,Diesel,24-Nov
Maruti Suzuki,Swift,2021,3,Automatic,first,Petrol,24-Oct
MG,ASTOR,2024,0,Manual,first,Petrol,24-Nov
Hyundai,Verna,2023,1,Automatic,first,Petrol,24-Nov
Tata,Altroz,2021,3,Manual,second,Petrol,24-Nov
MG,Hector Plus,2022,2,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Ciaz,2017,7,Manual,first,Petrol,24-Oct
Skoda,Rapid,2021,3,Automatic,first,Petrol,24-Oct
Mahindra,Scorpio-N,2022,2,Manual,first,Diesel,24-Nov
Mercedes-Benz,C-Class,2011,13,Automatic,second,Diesel,24-Nov
Kia,Seltos,2020,4,Manual,first,Diesel,24-Nov
Toyota,Innova,2012,12,Manual,first,Diesel,24-Oct
Maruti Suzuki,Swift,2018,6,Manual,second,Petrol,24-Nov
Mahindra,Thar,2021,3,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Swift-Dzire-Tour,2010,14,Manual,second,Diesel,24-Nov
Maruti Suzuki,Wagon-R,2021,3,Manual,first,Petrol,24-Nov
Hyundai,Creta,2023,1,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Baleno,2017,7,Manual,first,Petrol,24-Nov
Honda,City,2011,13,Automatic,second,Petrol,24-Nov
Kia,Seltos,2020,4,Manual,first,Diesel,24-Nov
Mercedes-Benz,E-Class,2006,18,Automatic,second,Diesel,24-Nov
Jaguar,XF,2014,10,Automatic,second,Diesel,24-Nov
Maruti Suzuki,XL6,2022,2,Manual,first,Petrol,24-Nov
